Group tours search,Local,wordpress,class,,Group tours filters by country + class local,Group tours filters by country + class wp,
South Africa/HoedspruitAirport/Deluxe,GKPPKTVT001KREDEL,GKPPKTVT001KREDEL,,CPTPKTVT001CTEXSS,CPTPKTVT001CTEXSS,,
South Africa/HoedspruitAirport/Standard,HDSPKMAKUTSMSSCLA,HDSPKMAKUTSMSSCLA,,CPTPKTVT001CTEXTB,CPTPKTVT001CTEXTB,,
South Africa/HoedspruitAirport/Standard,HDSPKMAKUTSMSSWLK,HDSPKMAKUTSMSSWLK,,CPTPKTVT001CTEXVA,CPTPKTVT001CTEXVA,,
South Africa/HoedspruitAirport/Luxury,,,,CPTPKTVT001CTEXVL,CPTPKTVT001CTEXVL,,
,,,,CPTPKTVT001CTRCO,CPTPKTVT001CTRCO,,
,,,,GKPPKSABBLDSBL4P3,GKPPKSABBLDSBL4P3,,
,,,,,,,
,,,,Hoedspruit ONLY,Hoedspruit ONLY,,
South Africa/JohannesburgAirport,5 packages,3 Packages,,GKPPKTVT001KREDEL,GKPPKTVT001KREDEL,,
,,,,HDSPKMAKUTSMSSCLA,HDSPKMAKUTSMSSCLA,,
,,,,HDSPKMAKUTSMSSWLK,HDSPKMAKUTSMSSWLK,,
South Africa/Johannesburg Airport/Deluxe,JNBPKTHISSAHOSADE,JNBPKTHISSAHOSADE,,,0,,
South Africa/Johannesburg Airport/Standard,JNBPKTHISSASPLEN1,JNBPKTHISSASPLEN1,,,0,,
South Africa/Johannesburg Airport/Standard,JNBPKTHISSASPLEN2,JNBPKTHISSASPLEN2,,,,,
South Africa/Johannesburg Airport/Luxury,0,0,,Sabi Sabi ONLY,Sabi Sabi ONLY,,
,,,,GKPPKSABBLDSBL4P3,GKPPKSABBLDSBL4P3,,
South Africa/Sabi Sand Game Reserve,,,,,,,
South Africa/Sabi Sand Game Reserve/Deluxe,0,0,,Johannesburg Airport ONLY,Johannesburg Airport ONLY,,
South Africa/Sabi Sand Game Reserve/Standard,,,,,,,
South Africa/Sabi Sand Game Reserve/Luxury,returning 41 packages,GKPPKSABBLDSBL4P3,,JNBPKTHISSAHOSADE,JNBPKTHISSAHOSADE,,
,,,,,,,
Uganda/Entebbe 4 packages,,,,JNBPKTHISSASPLEN1,JNBPKTHISSASPLEN1,,
Uganda/Entebbe Airport/Basic,EBBPKAASAFAGITMB,EBBPKAASAFAGITMB,,JNBPKTHISSASPLEN2,JNBPKTHISSASPLEN2,,
Uganda/Entebbe Airport/Standard,EBBPKAASAFAAGITMS,EBBPKAASAFAAGITMS,,,,,
Uganda/Entebbe Airport/Standard,EBBPKARP001BAIRST,EBBPKARP001BAIRST,,,,,
Uganda/Entebbe Airport/Deluxe,EBBPKARP001BAIRDX,EBBPKARP001BAIRDX,,,,,
,,,,,,,
Zambia/Livingstone Airport (2 packages),,,,,,,
Zambia/Livingstone Airport/Standard,LVIPKTVT001FE2NAV,LVIPKTVT001FE2NAV,,,,,
Zambia/Livingstone Airport/Luxury,LVIPKTVT001FE2NRL,LVIPKTVT001FE2NRL,,,,,
,,,,country level search returns all 4 results locally,country level search returns all 4 results,,
Zimbabwe 44 packages,Zimbabwe 42 packages,Zimbabwe 44 packages,2 are test packages filtered,,,,
Zimbabwe/Victoria Falls Airport 44 packages,Zimbabwe/Vic Falls Airport 42 packages,,2 test packages filtered,,,,
Zimbabwe/Victoria Falls Airport/Deluxe,VFAPKTHISSAVFCHD2,VFAPKTHISSAVFCHD2,,,,,
Zimbabwe/Victoria Falls Airport/Deluxe,VFAPKTHISSAVFCHO2,VFAPKTHISSAVFCHO2,,,,,
Zimbabwe/Victoria Falls Airport/Deluxe,VFAPKTHISSAVFCHO6,VFAPKTHISSAVFCHO6,,,,,
Zimbabwe/Victoria Falls Airport/Deluxe,VFAPKTHISSAVFCRU1,VFAPKTHISSAVFCRU1,,,,,
Zimbabwe/Victoria Falls Airport/Deluxe,VFAPKTHISSAVFCRU2,VFAPKTHISSAVFCRU2,,,,,
